car_model,dongle_id,route_id,route_datetime_utc,year_month,time_source,route_center_lat,route_center_lng,geo_points_used,geo_source,path
TOYOTA_PRIUS,5e58aff3cf6a6ced,0000016b--adeda4b145,,,unknown,,,0,unknown,/home/henry/Zhouhaoseu Dropbox/Zhouhaoseu Team Folder/TakeOver/TOYOTA_PRIUS/5e58aff3cf6a6ced/0000016b--adeda4b145
TOYOTA_PRIUS,611c22f1726511bc,00000200--9da7877c38,,,unknown,,,0,unknown,/home/henry/Zhouhaoseu Dropbox/Zhouhaoseu Team Folder/TakeOver/TOYOTA_PRIUS/611c22f1726511bc/00000200--9da7877c38
TOYOTA_PRIUS,611c22f1726511bc,00000137--29c7b711c5,,,unknown,,,0,unknown,/home/henry/Zhouhaoseu Dropbox/Zhouhaoseu Team Folder/TakeOver/TOYOTA_PRIUS/611c22f1726511bc/00000137--29c7b711c5
TOYOTA_PRIUS,611c22f1726511bc,00000060--d3f4208b96,,,unknown,,,0,unknown,/home/henry/Zhouhaoseu Dropbox/Zhouhaoseu Team Folder/TakeOver/TOYOTA_PRIUS/611c22f1726511bc/00000060--d3f4208b96
TOYOTA_PRIUS,611c22f1726511bc,00000387--bd1f6e1db8,,,unknown,,,0,unknown,/home/henry/Zhouhaoseu Dropbox/Zhouhaoseu Team Folder/TakeOver/TOYOTA_PRIUS/611c22f1726511bc/00000387--bd1f6e1db8
TOYOTA_PRIUS,14983ed2130a4e8e,00000689--5138e0f59c,,,unknown,,,0,unknown,/home/henry/Zhouhaoseu Dropbox/Zhouhaoseu Team Folder/TakeOver/TOYOTA_PRIUS/14983ed2130a4e8e/00000689--5138e0f59c
TOYOTA_PRIUS,14983ed2130a4e8e,00000654--c14aa39b0e,,,unknown,,,0,unknown,/home/henry/Zhouhaoseu Dropbox/Zhouhaoseu Team Folder/TakeOver/TOYOTA_PRIUS/14983ed2130a4e8e/00000654--c14aa39b0e
TOYOTA_PRIUS,14983ed2130a4e8e,000001aa--24cd2fd011,,,unknown,,,0,unknown,/home/henry/Zhouhaoseu Dropbox/Zhouhaoseu Team Folder/TakeOver/TOYOTA_PRIUS/14983ed2130a4e8e/000001aa--24cd2fd011
TOYOTA_PRIUS,14983ed2130a4e8e,00000190--5e23635546,,,unknown,,,0,unknown,/home/henry/Zhouhaoseu Dropbox/Zhouhaoseu Team Folder/TakeOver/TOYOTA_PRIUS/14983ed2130a4e8e/00000190--5e23635546
TOYOTA_PRIUS,56540363a2af6b5b,2024-03-06--18-58-10,2024-03-06T18:58:10+00:00,2024-03,route_dir_name,,,0,unknown,/home/henry/Zhouhaoseu Dropbox/Zhouhaoseu Team Folder/TakeOver/TOYOTA_PRIUS/56540363a2af6b5b/2024-03-06--18-58-10
TOYOTA_PRIUS,b18d8435f1460528,00000284--48b15070a5,,,unknown,,,0,unknown,/home/henry/Zhouhaoseu Dropbox/Zhouhaoseu Team Folder/TakeOver/TOYOTA_PRIUS/b18d8435f1460528/00000284--48b15070a5
