dongle_id,route_id,clip_id,car_model,event_t,has_radar,n_lead_samples_pre,n_lead_samples_post,vEgo_at_to,thw_min_pre,thw_p5_pre,thw_median_pre,ttc_min_pre,ttc_p5_pre,ttc_median_pre,n_closing_pre,dRel_at_to,vRel_at_to,vLead_at_to,dRel_min_pre,dRel_mean_pre,vRel_min_pre,lead_rate_pre,dRel_min_post,vRel_min_post,speed_regime,lead_present_pre
3f8ae015ce70365f,00000000--5c5085329e,0,ACURA_INTEGRA,121.6071961174814,True,0,0,15.616376876831056,,,,,,,0,,,,,,,0.0,,,Low (<60 km/h),False
3f8ae015ce70365f,00000000--5c5085329e,2,ACURA_INTEGRA,284.94909552909166,True,0,0,8.240495681762695,,,,,,,0,,,,,,,0.0,,,Low (<60 km/h),False
3f8ae015ce70365f,00000000--5c5085329e,1,ACURA_INTEGRA,243.77561408862834,True,0,0,9.86702823638916,,,,,,,0,,,,,,,0.0,,,Low (<60 km/h),False
3f8ae015ce70365f,00000002--6e1f6be28d,0,ACURA_INTEGRA,153.22010127237053,True,0,0,17.637462615966797,,,,,,,0,,,,,,,0.0,,,Medium,False
3f8ae015ce70365f,00000002--6e1f6be28d,2,ACURA_INTEGRA,237.49964977155668,True,0,0,15.338406562805176,,,,,,,0,,,,,,,0.0,,,Low (<60 km/h),False
3f8ae015ce70365f,00000002--75e758301f,1,ACURA_INTEGRA,703.7186895241579,True,0,0,11.259564399719238,,,,,,,0,,,,,,,0.0,,,Low (<60 km/h),False
3f8ae015ce70365f,00000003--a22590d0e4,2,ACURA_INTEGRA,336.10361216578,True,60,27,6.885876178741455,2.056571159872756,2.131332229449078,3.2047938848508988,15.0,15.0,15.0,23,62.65431594848633,2.82550048828125,9.798511505126951,35.93556594848633,45.48678684234619,-1.83221435546875,1.0,67.3105697631836,5.08721923828125,Low (<60 km/h),True
3f8ae015ce70365f,00000002--6e1f6be28d,1,ACURA_INTEGRA,214.5699549041422,True,0,0,18.07480239868164,,,,,,,0,,,,,,,0.0,,,Medium,False
3f8ae015ce70365f,00000003--a22590d0e4,0,ACURA_INTEGRA,90.36057399281067,True,60,100,13.920233726501465,2.016191458142725,2.245289273869386,2.3593516669475214,6.708931278344316,7.2595772358684805,8.789302001679257,60,33.12306594848633,-3.7310791015625,10.22154140472412,32.06056594848633,36.38955357869466,-5.4185791015625,1.0,17.870136260986328,-3.9263916015625,Low (<60 km/h),True
3f8ae015ce70365f,00000002--6e1f6be28d,3,ACURA_INTEGRA,435.38076555506666,True,38,94,16.69504165649414,3.2828150427400797,3.4450897931190214,4.46960432787384,13.609548795821647,15.0,15.0,38,57.78078079223633,-0.7479248046875,15.982725143432615,56.24953079223633,76.10073671842876,-6.94146728515625,0.6333333333333333,36.09523391723633,-13.32977294921875,Low (<60 km/h),True
3f8ae015ce70365f,00000003--a22590d0e4,3,ACURA_INTEGRA,560.0605866340911,True,60,38,10.391270637512209,1.4065390285741155,1.4495385732041335,1.6426823979110687,4.826388060146787,5.409690730140827,14.635298093387206,56,16.841815948486328,-2.47882080078125,7.946588516235352,14.810565948486328,19.02775344848633,-3.14288330078125,1.0,14.404315948486328,-6.8111572265625,Low (<60 km/h),True
3f8ae015ce70365f,00000003--a22590d0e4,1,ACURA_INTEGRA,262.61937900599617,True,55,85,14.31829071044922,3.140362593687208,3.234812005187935,3.5189831036085986,9.529641343156118,10.750679437352076,15.0,51,57.66701126098633,-5.71142578125,8.755626678466797,51.74806594848633,61.768734671852805,-5.93194580078125,0.9166666666666666,15.716815948486328,-11.7095947265625,Low (<60 km/h),True
3f8ae015ce70365f,00000002--75e758301f,0,ACURA_INTEGRA,468.65927984508073,True,60,100,12.02777099609375,2.5371854411627224,2.5988207511337507,3.0161105908594497,4.228147279195487,4.71740018328957,6.038241167485601,60,31.323749542236328,-6.248210906982422,5.804076194763184,30.823749542236328,43.703957875569664,-11.466014862060549,1.0,8.386249542236328,-7.286067962646484,Low (<60 km/h),True
3f8ae015ce70365f,00000002--6e1f6be28d,4,ACURA_INTEGRA,625.4001788104073,True,60,8,7.340976715087891,2.434980144574327,2.499401297036721,3.4942863417765726,,,,0,60.68898391723633,2.77960205078125,10.16257381439209,17.345233917236328,32.381659825642906,-0.04364013671875,1.0,36.56203079223633,2.88116455078125,Low (<60 km/h),True
ad9840558640c31d,00000000--c2b106d31c,0,ACURA_MDX_3G_MMR,237.13815909266717,True,12,20,9.883441925048828,2.8777337048345557,2.8852750750925917,3.1024397984961034,6.533963833549293,6.813558588196527,8.764015235154936,12,29.546405792236328,-4.52197265625,5.447649002075195,29.546405792236328,32.81349563598633,-4.52197265625,1.0,14.454608917236328,-3.54736328125,Low (<60 km/h),True
3f8ae015ce70365f,0000004a--1ce8db671f,3,ACURA_INTEGRA,786.34068082495,True,0,0,8.767098426818848,,,,,,,0,,,,,,,0.0,,,Low (<60 km/h),False
3f8ae015ce70365f,0000004a--1ce8db671f,1,ACURA_INTEGRA,440.70322565628527,True,0,10,11.41732692718506,,,,,,,0,,,,,,,0.0,31.66588592529297,7.948849201202393,Low (<60 km/h),False
3f8ae015ce70365f,0000004a--1ce8db671f,0,ACURA_INTEGRA,66.20814091564806,True,0,1,2.7410569190979004,,,,,,,0,,,,,,,0.0,,,Low (<60 km/h),False
