clip_key,yolo_n_keyframes,yolo_n_detections,yolo_traffic_light_present,yolo_bus_present,yolo_car_present,yolo_person_present,yolo_stop_sign_present,yolo_bicycle_present,yolo_truck_present,yolo_car_max_conf,yolo_person_max_conf,yolo_truck_max_conf,yolo_traffic_light_max_conf,yolo_stop_sign_max_conf,yolo_bus_max_conf,yolo_bicycle_max_conf
ACURA_MDX_3G_MMR/ad9840558640c31d/00000001--caebf3c86b/9,5,6,False,False,True,False,False,False,False,0.9185,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000002--11ddd64777/2,5,11,False,False,True,False,False,False,False,0.8186,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000002--531e9d28b4/3,5,6,True,False,True,False,False,False,True,0.6126,,0.3968,0.3972,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000002--531e9d28b4/7,5,6,False,False,True,False,False,False,False,0.5711,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000002--b71d2e9f27/0,5,10,False,False,False,False,False,False,True,,,0.732,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000002--11ddd64777/3,5,9,False,False,True,False,False,False,False,0.675,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000002--531e9d28b4/4,5,5,False,False,True,False,False,False,False,0.8071,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000002--b71d2e9f27/1,5,2,False,False,True,False,False,False,False,0.428,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000002--fd922cb087/0,5,1,False,False,True,False,False,False,False,0.6039,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000002--fd922cb087/1,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000003--4f81270497/3,5,15,False,False,True,False,False,False,True,0.8742,,0.3518,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000003--4f81270497/2,5,5,False,False,True,False,False,False,False,0.6103,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000003--4f81270497/4,5,5,False,False,True,False,False,False,False,0.7168,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000003--a2eb20220a/0,5,20,False,True,True,False,False,False,True,0.8585,,0.5512,,,0.8509,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000003--a2eb20220a/6,5,31,False,False,True,False,False,False,True,0.9128,,0.4489,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000003--a2eb20220a/5,5,24,False,False,True,False,False,False,True,0.8498,,0.4471,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000003--a2eb20220a/7,5,21,True,False,True,False,False,False,False,0.8096,,,0.3871,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000003--a2eb20220a/9,5,12,False,False,True,False,False,False,True,0.703,,0.531,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000003--a2eb20220a/8,5,34,True,False,True,False,False,False,False,0.8963,,,0.7716,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000003--d74a913501/0,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000003--a2eb20220a/10,5,29,True,False,True,False,False,False,True,0.9065,,0.7129,0.8085,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000003--d74a913501/1,5,3,True,False,False,False,False,False,False,,,,0.6818,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000003--d74a913501/3,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000004--5d39f13b70/12,5,12,False,False,True,False,False,False,False,0.8868,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000004--5d39f13b70/1,5,8,False,False,True,False,False,False,True,0.793,,0.585,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000004--5d39f13b70/14,5,13,True,False,True,False,False,False,True,0.8312,,0.5111,0.3816,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000004--5d39f13b70/13,5,8,False,False,True,False,False,False,False,0.8264,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000004--5d39f13b70/16,5,7,False,False,True,False,False,False,False,0.6442,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000004--5d39f13b70/3,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000004--5d39f13b70/6,5,18,False,True,True,False,False,False,True,0.8568,,0.3611,,,0.3759,
